,country,total
0,United States,150
1,Brasil,34
2,United Kingdom,28
3,Republic of the Philippines,22
4,India,20
5,México,18
6,Argentina,16
7,Indonesia,14
8,Nederland,10
9,Malaysia,8
10,France,8
11,España,6
12,Nigeria,6
13,Colombia,6
14,Estados Unidos,4
15,Ελλάς,2
16,Sweden,2
17,Etats-Unis,2
18,Italia,2
19,Maldives,2
20,Ghana,2
21,Peru,2
22,Chile,2
23,Italy,2
24,Spain,2
25,Kingdom of Saudi Arabia,2
26,Ireland,2
27,Thailand,2
28,Venezuela,2
29,الامارات العربية المتحدة,2
30,Uruguay,2
31,Mexico,2
32,Polska,2
33,Uganda,2
34,Espanya,2
35,Belgique,2
36,Brazil,2
37,Dominican Republic,2
38,New Zealand,2
39,Australia,2
40,South Africa,2
41,La Réunion,2
